date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:44	73374/73374	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202024%2008:32:44%20GMT	https://livedemo00-joomla.template-help.com/joomla_prod-16454/	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/index.html	(from )
15:33:08	38/38	---M--	200	added ('OK')	text/plain	etag:%225f45f0ff-26%22	https://livedemo00-joomla.template-help.com/robots.txt		(from )
15:33:10	1881/1881	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2021%20Mar%202024%2008:33:10%20GMT	https://livedemo00-joomla.template-help.com/joomla_prod-16454/index.php?format=feed&type=rss	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/indexc0d0.php	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:10	788/788	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Thu,%2021%20Mar%202024%2008:33:10%20GMT	https://livedemo00-joomla.template-help.com/joomla_prod-16454/index.php/component/search/?layout=theme3597:category&id=2&Itemid=101&format=opensearch	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/index.php/component/search/indexf9b3.html	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:11	1967/1967	---M--	200	added ('OK')	application/atom+xml	date:Thu,%2021%20Mar%202024%2008:33:11%20GMT	https://livedemo00-joomla.template-help.com/joomla_prod-16454/index.php?format=feed&type=atom	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/index7b17.php	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:11	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225af60726-47e%22	https://livedemo00-joomla.template-help.com/joomla_prod-16454/templates/theme3597/favicon.ico	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/templates/theme3597/favicon.ico	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:12	138624/138624	---MCZ	200	added ('OK')	text/css	etag:W/%225afd9230-295db%22	https://livedemo00-joomla.template-help.com/joomla_prod-16454/templates/theme3597/css/bootstrap.css	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/templates/theme3597/css/bootstrap.css	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:12	10439/10439	---MCZ	200	added ('OK')	text/css	etag:W/%225af3378a-2fea%22	https://livedemo00-joomla.template-help.com/joomla_prod-16454/media/jui/css/chosen.css?7a32cff53df0c720525cd4677a9d688f	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/media/jui/css/chosencb92.css	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:13	236408/236408	---MCZ	200	added ('OK')	text/css	etag:W/%225b0337d2-46ae7%22	https://livedemo00-joomla.template-help.com/joomla_prod-16454/templates/theme3597/css/template.css	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/templates/theme3597/css/template.css	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
15:33:15	569/569	---MCZ	200	added ('OK')	text/css	etag:W/%225af3378a-37e%22	https://livedemo00-joomla.template-help.com/joomla_prod-16454/templates/system/css/system.css	C:/Users/vietanh/Documents/template-vanh/livedemo00-joomla.template-help.com/joomla_prod-16454/templates/system/css/system.css	(from https://livedemo00-joomla.template-help.com/joomla_prod-16454/)
